x0000,y0000
13085.95682,21,
13085.94312,36,
13085.94312,63,
13085.93916,45,
13085.93531,43,
13085.93531,42,
13085.93123,48,
13085.93123,43,
13085.92731,80,
13085.9135,25,
13085.9135,41,
13085.9049,32,
13085.90737,40,
13085.90737,26,
13085.90983,58,
13085.91253,30,
13085.91253,34,
13085.91501,23,
13085.91625,35,
13085.91625,47,
13085.91352,29,
13085.91082,46,
13085.91082,57,
13085.90795,43,
13085.90508,43,
13085.90508,45,
13085.90193,49,
13085.89858,44,
13085.89858,44,
13085.89487,40,
13085.89134,49,
13085.89134,48,
13085.88754,49,
13085.88382,58,
13085.88382,42,
13085.8799,57,
13085.87603,79,
13085.87603,86,
13085.8723,98,
13085.8685,90,
13085.8685,128,
13085.8645,138,
13085.86044,115,
13085.86044,114,
13085.85658,105,
13085.85251,113,
13085.85251,129,
13085.84861,111,
13085.84447,76,
13085.84447,122,
13085.84049,89,
13085.83633,135,
13085.83633,105,
13085.83242,111,
13085.82829,128,
13085.82829,232,
13085.82432,153,
13085.82019,142,
13085.82019,139,
13085.8163,150,
13085.81216,120,
13085.81216,174,
13085.80805,129,
13085.80396,226,
13085.80396,165,
13085.79982,179,
13085.79598,201,
13085.79598,242,
13085.79178,256,
13085.79178,233,
13085.78779,220,
13085.78359,233,
13085.78359,174,
13085.77952,186,
13085.77534,195,
13085.77534,265,
13085.77119,227,
13085.76703,346,
13085.76703,329,
13085.76296,332,
13085.75867,347,
13085.75867,325,
13085.75451,398,
13085.75023,426,
13085.75023,443,
13085.74595,380,
13085.74178,313,
13085.74178,412,
13085.7374,429,
13085.73328,538,
13085.73328,405,
13085.72904,344,
13085.72489,459,
13085.72489,492,
13085.72057,480,
13085.71634,392,
13085.71634,404,
13085.71196,404,
13085.70754,473,
13085.70754,410,
13085.7034,335,
13085.69933,399,
13085.69933,484,
13085.69493,459,
13085.69044,482,
13085.69044,397,
13085.68629,547,
13085.68189,626,
13085.68189,623,
13085.67767,761,
13085.67324,625,
13085.67324,586,
13085.66903,613,
13085.66466,630,
13085.66466,684,
13085.66053,572,
13085.65609,606,
13085.65609,520,
13085.652,548,
13085.64766,445,
13085.64766,468,
13085.64355,560,
13085.64056,517,
13085.63922,449,
13085.63922,446,
13085.63767,501,
13085.63767,520,
13085.63484,402,
13085.63456,382,
13085.63126,327,
13085.63126,479,
13085.63066,470,
13085.63066,499,
13085.62792,428,
13085.62453,407,
13085.62453,376,
13085.62111,307,
13085.61754,376,
13085.61754,457,
13085.61386,392,
13085.61029,331,
13085.61029,293,
13085.60648,366,
13085.6027,374,
13085.6027,312,
13085.59899,291,
13085.59513,379,
13085.59513,387,
13085.59137,338,
13085.58758,308,
13085.58758,373,
13085.58377,368,
13085.58015,413,
13085.58015,398,
13085.57633,366,
13085.57244,289,
13085.57244,492,
13085.5686,343,
13085.56474,361,
13085.56474,389,
13085.5609,323,
13085.55698,362,
13085.55698,351,
13085.553,384,
13085.54931,322,
13085.54931,313,
13085.54543,285,
13085.54155,244,
13085.54155,261,
13085.53771,260,
