x0000,y0000
13085.36963,38,
13085.36963,145,
13085.37256,114,
13085.37537,108,
13085.37537,99,
13085.37826,82,
13085.37826,72,
13085.38115,91,
13085.38405,88,
13085.38405,115,
13085.38702,108,
13085.39005,92,
13085.39005,101,
13085.39313,103,
13085.39607,62,
13085.39607,66,
13085.39912,75,
13085.40203,74,
13085.40203,75,
13085.40509,70,
13085.40817,80,
13085.40817,68,
13085.41123,53,
13085.41424,72,
13085.41424,98,
13085.41732,96,
13085.42054,98,
13085.42054,144,
13085.42366,110,
13085.42678,92,
13085.42678,116,
13085.43004,103,
13085.43329,124,
13085.43329,102,
13085.43673,106,
13085.43977,146,
13085.43977,181,
13085.44301,116,
13085.44627,102,
13085.44627,111,
13085.44935,144,
13085.45274,111,
13085.45274,101,
13085.45583,147,
13085.45913,109,
13085.45913,152,
13085.46246,155,
13085.46583,138,
13085.46583,148,
13085.46917,166,
13085.4726,193,
13085.4726,150,
13085.47597,95,
13085.47936,119,
13085.47936,108,
13085.48253,121,
13085.48592,153,
13085.48592,174,
13085.48941,128,
13085.49267,159,
13085.49267,182,
13085.49632,150,
13085.49977,154,
13085.49977,166,
13085.50314,116,
13085.50653,153,
13085.50653,96,
13085.50989,239,
13085.51337,142,
13085.51337,174,
13085.51682,157,
13085.52035,125,
13085.52035,166,
13085.524,148,
13085.524,134,
13085.52761,371,
13085.53114,217,
13085.53114,211,
13085.53454,174,
13085.53814,180,
13085.53814,240,
13085.54176,198,
13085.54537,204,
13085.54537,154,
13085.54891,215,
13085.55253,201,
13085.55253,218,
13085.55616,256,
13085.55988,199,
13085.55988,208,
13085.56333,296,
13085.56701,341,
13085.56701,253,
13085.57078,373,
13085.57462,435,
13085.57462,344,
13085.57841,304,
13085.58211,310,
13085.58211,278,
13085.58584,308,
13085.58934,327,
13085.58934,249,
13085.59308,239,
13085.59681,227,
13085.59681,261,
13085.60058,270,
13085.60432,373,
13085.60432,265,
13085.60806,238,
13085.61184,330,
13085.61184,396,
13085.61572,388,
13085.61938,471,
13085.61938,440,
13085.62318,500,
13085.62693,411,
13085.62693,371,
13085.63081,318,
13085.63473,371,
13085.63473,352,
13085.63855,351,
13085.6423,296,
13085.6423,421,
13085.64614,441,
13085.64985,395,
13085.64985,434,
13085.65376,396,
13085.65765,447,
13085.65765,502,
13085.66162,577,
13085.66549,472,
13085.66549,306,
13085.66944,453,
13085.67344,628,
13085.67344,468,
13085.67738,536,
13085.68136,529,
13085.68136,448,
13085.68517,415,
13085.68517,353,
13085.68917,311,
13085.69317,275,
13085.69317,261,
13085.69714,351,
13085.70126,431,
13085.70126,458,
13085.70527,347,
13085.7094,358,
13085.7094,280,
13085.71333,318,
13085.71734,338,
13085.71734,330,
13085.72134,343,
13085.72547,341,
13085.72547,440,
13085.72955,316,
13085.73361,290,
13085.73361,359,
13085.73767,350,
13085.74175,253,
13085.74175,329,
13085.74591,292,
13085.74975,291,
13085.74975,199,
13085.75372,220,
13085.75791,202,
13085.75791,207,
13085.76205,210,
13085.76625,164,
13085.76625,237,
13085.77041,170,
13085.77453,173,
13085.77453,142,
13085.77872,128,
13085.78276,138,
13085.78276,87,
13085.78694,127,
13085.79124,108,
13085.79124,134,
13085.79551,190,
13085.79975,123,
13085.79975,124,
13085.80401,149,
13085.80828,150,
13085.80828,144,
13085.81245,130,
13085.81656,88,
13085.81656,113,
13085.82069,93,
13085.82495,88,
13085.82495,89,
13085.82921,62,
13085.83363,66,
13085.83363,56,
13085.83817,65,
13085.84257,72,
13085.84257,54,
13085.8469,73,
13085.85117,57,
13085.85117,47,
13085.85533,40,
13085.85533,54,
13085.85958,39,
13085.86383,46,
13085.86383,38,
13085.86831,40,
13085.87267,41,
13085.87267,31,
13085.87699,48,
13085.88139,43,
13085.88139,45,
13085.88568,45,
13085.89007,39,
13085.89007,40,
13085.89457,48,
13085.89902,43,
13085.89902,42,
13085.90354,43,
13085.90805,43,
13085.90805,38,
13085.91255,37,
13085.91695,50,
13085.91695,36,
13085.92096,49,
13085.9257,28,
13085.9257,33,
13085.93029,46,
13085.93479,44,
13085.93479,44,
13085.93933,29,
13085.94376,26,
13085.94376,41,
13085.94833,20,
13085.9527,32,
13085.9527,22,
13085.95736,22,
13085.96201,21,
13085.96201,18,
