x0000,y0000
10991.23536,142,
10991.23758,142,
10991.24192,187,
10991.24164,156,
10991.24583,137,
10991.24816,121,
10991.2502,158,
10991.25218,164,
10991.25396,133,
10991.25625,245,
10991.25859,178,
10991.26161,202,
10991.26226,199,
10991.26582,218,
10991.26854,246,
10991.27135,180,
10991.27338,291,
10991.27611,277,
10991.27904,218,
10991.28087,205,
10991.28396,210,
10991.28609,260,
10991.28469,230,
10991.28882,233,
10991.29236,253,
10991.29354,226,
10991.29593,226,
10991.30107,237,
10991.30169,207,
10991.3035,220,
10991.30585,239,
10991.3091,195,
10991.31118,285,
10991.31405,327,
10991.31741,194,
10991.31957,239,
10991.32253,229,
10991.32513,308,
10991.32709,255,
10991.33154,228,
10991.33592,199,
10991.34215,287,
10991.342,265,
10991.34693,234,
10991.35882,262,
10991.36183,300,
10991.36637,293,
10991.37043,244,
10991.37387,249,
10991.37705,309,
10991.38235,321,
10991.38519,298,
10991.38879,344,
10991.39397,334,
10991.39635,342,
10991.4046,283,
10991.40829,327,
10991.41523,295,
10991.41806,308,
10991.42296,347,
10991.42682,355,
10991.42928,420,
10991.43358,346,
10991.43656,304,
10991.44065,242,
10991.44401,266,
10991.446,271,
10991.44907,256,
10991.45273,367,
10991.45659,288,
10991.45809,256,
10991.46123,339,
10991.46585,346,
10991.47117,196,
10991.4752,308,
10991.47813,364,
10991.48118,304,
10991.48488,274,
10991.48618,355,
10991.49154,343,
10991.49339,407,
10991.50065,309,
10991.50357,333,
10991.50239,365,
10991.50925,345,
10991.5117,326,
10991.51521,273,
10991.51801,220,
10991.52196,272,
10991.52474,268,
10991.52986,245,
10991.53108,169,
10991.53584,297,
10991.53838,222,
10991.54243,208,
10991.54521,106,
10991.54853,138,
10991.55099,131,
10991.55865,152,
10991.56003,145,
10991.56766,170,
10991.57096,121,
10991.5741,150,
10991.57839,124,
10991.58203,147,
10991.58452,170,
10991.58658,132,
10991.58851,254,
10991.59461,169,
10991.59819,150,
10991.60074,145,
10991.60322,133,
10991.60609,135,
10991.61266,123,
10991.61392,94,
10991.61737,117,
10991.61928,159,
10991.621,128,
10991.62392,95,
10991.62742,103,
10991.62951,124,
10991.63899,125,
10991.64054,138,
10991.64362,139,
10991.64602,198,
10991.64718,211,
10991.64981,188,
10991.65169,186,
10991.65556,160,
10991.65816,197,
10991.6599,155,
10991.6631,222,
10991.66479,208,
10991.66463,200,
10991.66625,116,
10991.6696,140,
10991.67346,119,
10991.67639,102,
10991.67888,109,
10991.6829,141,
10991.6845,154,
10991.68769,97,
10991.68959,105,
10991.69245,100,
10991.69098,112,
10991.69314,126,
10991.69512,110,
10991.69713,116,
10991.69627,135,
10991.70521,137,
10991.71103,109,
10991.71544,56,
10991.71554,71,
10991.72168,70,
10991.72451,86,
10991.72422,99,
10991.73006,77,
10991.73379,54,
10991.73493,72,
10991.73609,73,
10991.73926,73,
10991.7443,85,
10991.74294,91,
10991.74773,80,
10991.75094,90,
10991.75064,63,
10991.74974,74,
10991.75549,95,
10991.76219,44,
10991.76123,75,
10991.76828,68,
10991.77488,96,
10991.77323,68,
10991.78436,52,
10991.78828,51,
10991.7935,64,
10991.79758,62,
10991.80326,69,
10991.80555,56,
10991.81022,52,
10991.81468,40,
10991.81654,59,
10991.82254,57,
10991.82672,43,
10991.83005,38,
10991.83464,40,
10991.8361,46,
10991.84067,50,
10991.84348,39,
10991.84588,28,
10991.84866,56,
10991.85324,47,
10991.85235,29,
10991.85126,30,
10991.85131,44,
10991.85117,46,
10991.85322,58,
10991.85139,38,
10991.85176,57,
10991.8511,46,
10991.85109,42,
10991.85189,55,
10991.85129,38,
10991.85208,47,
10991.85187,47,
10991.85191,27,
10991.85226,48,
