x0000,y0000
10991.49851,528,
10991.4977,435,
10991.49867,549,
10991.49875,509,
10991.49914,707,
10991.49941,541,
10991.49898,514,
10991.49913,587,
10991.49899,428,
10991.49996,381,
10991.49992,498,
10991.49931,386,
10991.49993,514,
10991.5003,464,
10991.49904,497,
10991.49958,482,
10991.50026,494,
10991.49842,432,
10991.49922,539,
10991.49906,465,
10991.49897,438,
10991.49994,601,
10991.49615,571,
10991.49539,419,
10991.49635,411,
10991.49434,513,
10991.49289,493,
10991.49123,435,
10991.49268,500,
10991.4907,481,
10991.48957,540,
10991.48604,608,
10991.48665,620,
10991.48584,704,
10991.48381,618,
10991.47769,891,
10991.47493,844,
10991.47193,634,
10991.46954,844,
10991.46361,602,
10991.46384,870,
10991.46026,762,
10991.45809,746,
10991.44952,771,
10991.44755,791,
10991.44544,735,
10991.44143,581,
10991.43671,542,
10991.43322,677,
10991.4261,552,
10991.42352,583,
10991.41858,603,
10991.41418,683,
10991.40797,533,
10991.4077,336,
10991.40036,388,
10991.39755,390,
10991.39605,454,
10991.39026,449,
10991.38569,589,
10991.38153,488,
10991.37373,447,
10991.37057,427,
10991.36616,387,
10991.3606,379,
10991.35912,330,
10991.35441,387,
10991.35081,342,
10991.3455,302,
10991.34315,309,
10991.3372,378,
10991.33327,341,
10991.33149,386,
10991.32851,407,
10991.3258,361,
10991.32143,339,
10991.31971,354,
10991.31761,249,
10991.31693,233,
10991.31323,303,
10991.30993,321,
10991.3104,344,
10991.3055,300,
10991.30016,225,
10991.29584,326,
10991.29548,306,
10991.29516,297,
10991.29281,392,
10991.29062,319,
10991.2858,401,
10991.28324,436,
10991.2787,313,
10991.27696,363,
10991.27176,306,
10991.26862,313,
10991.26065,329,
10991.26044,289,
10991.25785,331,
10991.25301,356,
10991.24864,325,
10991.24705,365,
10991.24339,309,
10991.23805,296,
10991.22884,297,
10991.22636,193,
10991.2208,221,
10991.21677,212,
10991.21719,225,
10991.21764,226,
10991.21698,223,
10991.21598,177,
10991.21064,202,
10991.20915,193,
10991.20506,163,
10991.20271,162,
10991.20245,156,
10991.19765,172,
10991.19817,255,
10991.19577,305,
10991.19304,251,
10991.19048,250,
10991.18847,264,
10991.18751,352,
10991.18541,302,
10991.18382,224,
10991.17978,154,
10991.17475,335,
10991.17023,344,
10991.16811,202,
10991.16827,238,
10991.16337,225,
10991.16112,351,
10991.16047,282,
10991.15873,350,
10991.15924,298,
10991.15866,251,
10991.15847,330,
10991.15805,351,
10991.15821,303,
10991.15735,230,
10991.15795,247,
10991.15793,251,
10991.15424,278,
10991.15206,232,
10991.14441,250,
10991.13955,204,
10991.13499,275,
10991.13179,243,
10991.12588,196,
10991.11974,223,
10991.11816,146,
10991.11474,210,
10991.11259,174,
10991.11086,172,
10991.10916,144,
10991.10922,165,
10991.10588,165,
10991.10386,148,
10991.10396,274,
10991.09978,208,
10991.09727,193,
10991.08937,135,
10991.07999,136,
10991.07151,115,
10991.06518,109,
10991.06048,104,
10991.05489,116,
10991.05246,78,
10991.05283,95,
10991.04901,97,
10991.04583,94,
10991.04463,132,
10991.04463,102,
10991.04575,103,
10991.04046,117,
10991.03791,123,
10991.0325,119,
10991.0291,151,
10991.02904,134,
10991.02402,171,
10991.02132,132,
10991.01849,198,
10991.01473,134,
10991.0125,187,
10991.0114,154,
10991.0079,126,
10991.00327,129,
10991.00141,103,
10990.99424,106,
10990.98628,143,
10990.9806,113,
10990.9725,118,
10990.96749,99,
10990.96328,123,
10990.95792,140,
10990.95474,179,
10990.9553,126,
10990.95161,93,
10990.95229,141,
10990.94832,113,
10990.95007,119,
10990.94912,98,
10990.94616,103,
10990.94195,101,
10990.94232,67,
10990.94102,85,
10990.9419,75,
10990.94108,77,
10990.94125,89,
10990.94186,121,
10990.94116,167,
10990.93704,114,
10990.93121,122,
10990.92918,112,
10990.9191,120,
10990.90847,82,
10990.89967,81,
10990.90028,156,
10990.89876,139,
10990.8901,125,
10990.88939,106,
10990.89006,110,
10990.88585,128,
10990.88678,108,
10990.88647,89,
10990.88656,113,
10990.8869,102,
10990.88697,108,
10990.88624,91,
10990.88783,89,
10990.887,110,
10990.88665,101,
10990.88751,105,
10990.89055,65,
10990.90164,80,
10990.90898,88,
10990.92147,99,
10990.92869,129,
10990.92855,108,
10990.93146,106,
10990.93035,101,
10990.93149,80,
10990.93541,94,
10990.94565,83,
10990.95577,128,
10990.96295,141,
10990.97354,96,
10990.97847,95,
10990.9913,136,
10991.00401,89,
10991.0115,104,
10991.01846,111,
10991.02204,72,
10991.03608,85,
10991.04139,125,
10991.04706,149,
10991.0519,127,
10991.05899,105,
10991.06765,146,
10991.07383,109,
10991.08333,112,
10991.09206,166,
10991.10095,167,
10991.10433,168,
10991.11027,219,
10991.12117,261,
10991.12888,263,
10991.13724,315,
10991.14145,389,
10991.15041,379,
10991.155,320,
10991.16254,319,
10991.17801,410,
10991.20525,385,
10991.23144,364,
10991.2431,277,
10991.26181,302,
10991.26768,328,
10991.27385,354,
10991.28617,372,
10991.29088,257,
10991.29573,326,
10991.30106,238,
10991.3104,267,
10991.31393,277,
10991.31928,291,
10991.32307,317,
10991.32829,238,
10991.33228,255,
10991.34024,256,
10991.35712,322,
10991.37136,379,
10991.37835,312,
10991.38627,385,
10991.40418,475,
10991.42163,506,
10991.44983,417,
10991.44948,380,
10991.44891,544,
10991.44917,516,
10991.44764,507,
10991.45893,658,
10991.45798,654,
10991.46693,618,
10991.4753,641,
10991.48354,619,
10991.4904,757,
10991.49186,641,
10991.49494,717,
10991.49277,642,
10991.49517,593,
10991.49463,617,
10991.50062,570,
10991.50275,629,
10991.50962,460,
10991.51239,555,
10991.5155,586,
10991.51744,588,
10991.51962,553,
10991.52315,634,
10991.52348,420,
10991.52562,496,
10991.52909,425,
10991.53256,429,
10991.53419,431,
10991.53792,504,
10991.54054,470,
10991.54292,383,
10991.54501,316,
10991.54911,401,
10991.55267,363,
10991.55462,444,
10991.55761,335,
10991.56089,380,
10991.56389,347,
