x0000,y0000
13085.41617,101,
13085.41617,73,
13085.41826,100,
13085.42039,109,
13085.42039,139,
13085.42273,122,
13085.42523,94,
13085.42523,92,
13085.42768,174,
13085.43021,108,
13085.43021,159,
13085.43277,132,
13085.43277,133,
13085.43533,123,
13085.43772,153,
13085.43772,156,
13085.44046,133,
13085.44298,142,
13085.44298,133,
13085.44572,118,
13085.44833,172,
13085.44833,179,
13085.45097,131,
13085.45369,154,
13085.45369,153,
13085.45642,145,
13085.45922,171,
13085.45922,150,
13085.46199,122,
13085.46467,179,
13085.46467,142,
13085.46737,118,
13085.4701,136,
13085.4701,128,
13085.4729,125,
13085.47576,151,
13085.47576,124,
13085.47856,137,
13085.48148,100,
13085.48148,135,
13085.48439,170,
13085.48724,198,
13085.48724,157,
13085.49007,227,
13085.49304,177,
13085.49304,149,
13085.49594,177,
13085.49891,203,
13085.49891,214,
13085.50194,206,
13085.50483,206,
13085.50483,164,
13085.50772,184,
13085.51074,183,
13085.51074,172,
13085.51366,226,
13085.51672,157,
13085.51672,177,
13085.51968,212,
13085.52273,188,
13085.52273,193,
13085.52579,145,
13085.5288,245,
13085.5288,214,
13085.53187,149,
13085.53497,149,
13085.53497,166,
13085.53804,195,
13085.54116,188,
13085.54116,200,
13085.54416,194,
13085.54729,193,
13085.54729,197,
13085.55041,222,
13085.55041,202,
13085.55351,248,
13085.55671,213,
13085.55671,222,
13085.55988,281,
13085.56299,228,
13085.56299,230,
13085.56618,244,
13085.56921,228,
13085.56921,233,
13085.57245,298,
13085.57557,284,
13085.57557,217,
13085.57873,198,
13085.58202,317,
13085.58202,318,
13085.58524,257,
13085.58858,238,
13085.58858,332,
13085.59173,369,
13085.59506,374,
13085.59506,274,
13085.59823,342,
13085.60147,275,
13085.60147,302,
13085.60473,275,
13085.60811,409,
13085.60811,301,
13085.6115,345,
13085.61486,376,
13085.61486,339,
13085.61827,277,
13085.62165,244,
13085.62165,326,
13085.62501,265,
13085.62826,303,
13085.62826,304,
13085.63161,310,
13085.63501,312,
13085.63501,318,
13085.63838,191,
13085.64174,287,
13085.64174,216,
13085.64513,218,
13085.64863,244,
13085.64863,236,
13085.65208,237,
13085.65528,325,
13085.65528,321,
13085.65883,213,
13085.66231,305,
13085.66231,279,
13085.66587,230,
13085.66935,211,
13085.66935,209,
13085.67289,191,
13085.67637,231,
13085.67637,195,
13085.6799,281,
13085.68342,252,
13085.68342,188,
13085.68687,193,
13085.69035,179,
13085.69035,218,
13085.69373,182,
13085.69737,171,
13085.69737,191,
13085.70092,291,
13085.70092,212,
13085.7045,233,
13085.70805,205,
13085.70805,246,
13085.71181,196,
13085.71522,314,
13085.71522,262,
13085.71875,266,
13085.72234,243,
13085.72234,278,
13085.72602,249,
13085.72961,267,
13085.72961,283,
13085.73323,243,
13085.73681,198,
13085.73681,206,
13085.74044,209,
13085.74416,180,
13085.74416,180,
13085.74772,197,
13085.7514,114,
13085.7514,138,
13085.75513,232,
13085.75894,156,
13085.75894,121,
13085.76264,80,
13085.76646,148,
13085.76646,112,
13085.77022,134,
13085.77394,109,
13085.77394,77,
13085.77755,88,
13085.78127,100,
13085.78127,108,
13085.78498,91,
13085.78877,101,
13085.78877,147,
13085.79248,113,
13085.79633,127,
13085.79633,105,
13085.80017,105,
13085.80405,99,
13085.80405,92,
13085.8079,104,
13085.81155,83,
13085.81155,78,
13085.81529,54,
13085.81917,82,
13085.81917,78,
13085.823,70,
13085.82687,73,
13085.82687,64,
13085.83074,79,
13085.83468,70,
13085.83468,55,
13085.83862,76,
13085.84221,84,
13085.84221,77,
13085.84609,67,
13085.84998,69,
13085.84998,58,
13085.85387,87,
13085.85776,58,
13085.85776,54,
13085.86182,61,
13085.86577,68,
13085.86577,55,
13085.86807,35,
13085.86807,46,
13085.86875,36,
13085.86917,43,
13085.86917,52,
13085.86958,66,
13085.86986,45,
13085.86986,59,
13085.87016,50,
13085.87036,45,
13085.87036,40,
13085.87055,78,
13085.8708,51,
13085.8708,45,
13085.87094,42,
13085.87108,58,
13085.87108,40,
13085.8712,61,
13085.87134,59,
13085.87134,47,
13085.8715,85,
13085.87164,44,
13085.87164,50,
13085.87175,56,
13085.87184,37,
13085.87184,35,
13085.87194,37,
13085.87206,29,
13085.87206,33,
13085.87215,44,
13085.87221,49,
13085.87221,44,
13085.87234,32,
13085.87239,42,
13085.87239,32,
13085.87246,23,
13085.87254,41,
13085.87254,48,
13085.87262,33,
13085.87269,42,
