idx,Counts,Wavelength,Wavelengthstd,Wavenumber,Wavenumberstd,Frequency,Frequencystd,Power,Powerstd,MotorPosition,scan No.
0,32.0,910.6018405663945,0.0010569450566267717,10981.748064327952,0.012746626915249032,329.22452453416184,0.0003821342614138378,0.0,0.0,-0.052,0.0
0,34.0,910.6031204410904,0.0009295450267394182,10981.732629212256,0.011210178425872014,329.22406180103445,0.0003360726944925296,0.0,0.0,-0.05142803225806451,0.0
0,20.0,910.6031219656386,0.0006610787713401769,10981.732610820785,0.007972504607764984,329.22406124967205,0.0002390096752805098,0.0,0.0,-0.05085606451612903,0.0
0,26.0,910.6027492305459,0.0010567332365310669,10981.737105959113,0.012744047552333071,329.2241960105289,0.00038205693405688786,0.0,0.0,-0.05028409677419354,0.0
0,34.0,910.6013588178403,0.00121862617367759,10981.753874165195,0.01469649430112579,329.22469870870066,0.0004405898150531311,0.0,0.0,-0.049712129032258065,0.0
0,46.0,910.5991391468858,0.000807089775912221,10981.780643210983,0.009733468135620474,329.2255012245042,0.00029180203372110124,0.0,0.0,-0.04914016129032258,0.0
0,44.0,910.5972423139447,0.0010395000583487905,10981.803518975907,0.012536384331428962,329.22618702268363,0.0003758313473225408,0.0,0.0,-0.048568193548387095,0.0
0,48.0,910.5947380528023,0.0009505343859207605,10981.83372044813,0.011463512131859999,329.227092440043,0.0003436674479350492,0.0,0.0,-0.04799622580645161,0.0
0,32.0,910.5928003815004,0.0005598357265195516,10981.857088936125,0.006751687438168526,329.2277930096886,0.00020241049726728183,0.0,0.0,-0.047424258064516125,0.0
0,24.0,910.5918604726994,0.00030038151903342443,10981.868424356402,0.003622644273166617,329.22813283703925,0.00010860414311209388,0.0,0.0,-0.04685229032258064,0.0
0,22.0,910.5903521204539,0.0002402639143120885,10981.886615330495,0.002897627477564145,329.228678188723,8.686868640131527e-05,0.0,0.0,-0.046280322580645156,0.0
0,28.0,910.5893290619113,0.0005885348984423175,10981.898953621796,0.007097852974669155,329.2290480813906,0.00021278827897929496,0.0,0.0,-0.04570835483870968,0.0
0,18.0,910.5871721041591,0.0008036816940459525,10981.926352979568,0.00887142621615699,329.2298279444038,0.00029057727263346065,0.0,0.0,-0.04513638709677419,0.0
0,26.0,910.5848486563212,0.0017483150214467954,10981.952988557936,0.021085248920537022,329.23066800802286,0.0006321198601447796,0.0,0.0,-0.04456441935483871,0.0
0,72.0,910.5810347179238,0.0008743310924057461,10981.998986072644,0.01054481430514863,329.2320469788225,0.0003161255799680987,0.0,0.0,-0.04399245161290322,0.0
0,32.0,910.5783818562775,0.0010257539930942792,10982.030980822312,0.0123711179297578,329.23300615728715,0.00037087678524052106,0.0,0.0,-0.04342048387096774,0.0
0,28.0,910.5757804128771,0.0005206132362741523,10982.062355610895,0.006278889355438087,329.233946749786,0.00018823636733518106,0.0,0.0,-0.04284851612903225,0.0
0,30.0,910.5734124532219,0.000909851584677563,10982.090914634195,0.010973390324015984,329.2348029277653,0.00032897396579037376,0.0,0.0,-0.04227654838709677,0.0
0,32.0,910.5696159815512,0.0011342815014825475,10982.136702679221,0.01368026480229342,329.23617561882185,0.000410124021114179,0.0,0.0,-0.04170458064516129,0.0
0,66.0,910.5661668153023,0.0010166616415412172,10982.178302305461,0.012261772660887823,329.23742274424205,0.00036759869655178463,0.0,0.0,-0.041132612903225806,0.0
0,30.0,910.5637651693565,0.0005964313367856778,10982.207268202004,0.007193492422844478,329.2382911199744,0.00021565547750581753,0.0,0.0,-0.04056064516129032,0.0
0,32.0,910.5597359554944,0.0012021569543183943,10982.255864327173,0.014499210498305937,329.2397479951557,0.0004346753954243951,0.0,0.0,-0.039988677419354836,0.0
0,38.0,910.5537862097857,0.001909271005807813,10982.327624674806,0.023028052169355995,329.2418993162561,0.0006903636362859657,0.0,0.0,-0.03941670967741935,0.0
0,30.0,910.547950814884,0.0009041138746917301,10982.398006673324,0.010904792025352099,329.24400931548956,0.00032691744052236243,0.0,0.0,-0.038844741935483866,0.0
0,26.0,910.5450046329728,0.0010775143675678877,10982.433541596172,0.01299632107038054,329.2450746256762,0.000389619903865758,0.0,0.0,-0.03827277419354838,0.0
0,24.0,910.5418697263658,0.000862728075853732,10982.47135303526,0.010405766471760142,329.2462081841026,0.00031195703079643265,0.0,0.0,-0.0377008064516129,0.0
0,22.0,910.5391027038813,0.0008430901876294134,10982.504727488566,0.010168977398317349,329.2472087250418,0.0003048582729571997,0.0,0.0,-0.03712883870967742,0.0
0,20.0,910.5363863812587,0.0006476568319100498,10982.537490619152,0.007811789288500598,329.24819093898674,0.0002341915512219195,0.0,0.0,-0.03655687096774193,0.0
0,34.0,910.5347496958569,0.0006822627071411487,10982.557231721123,0.008229221144096431,329.24878276233505,0.00024670584342326407,0.0,0.0,-0.03598490322580645,0.0
0,42.0,910.532744858919,0.00026258096512094605,10982.581413423264,0.0031671755072500995,329.24950771152743,9.494953302127936e-05,0.0,0.0,-0.035412935483870964,0.0
0,38.0,910.5313950175657,0.0006516558938427837,10982.59769484632,0.007860110910779011,329.24999581631124,0.00023564019701181402,0.0,0.0,-0.03484096774193548,0.0
0,38.0,910.5308364830804,0.0005951101664276727,10982.604431750175,0.007178076726847461,329.2501977836078,0.00021519332656460592,0.0,0.0,-0.034268999999999994,0.0
0,18.0,910.5303241534181,0.0007424795567238508,10982.610611353699,0.00895562024552559,329.2503830434607,0.0002684827406312989,0.0,0.0,-0.033697032258064516,0.0
