x0000,y0000
10991.46421,515,
10991.46943,524,
10991.47295,422,
10991.479,790,
10991.48245,738,
10991.48539,734,
10991.48881,658,
10991.4918,739,
10991.49657,729,
10991.49932,724,
10991.50273,794,
10991.5055,798,
10991.50996,583,
10991.51119,748,
10991.5146,671,
10991.51716,696,
10991.51978,568,
10991.52036,522,
10991.5248,574,
10991.52665,594,
10991.52949,595,
10991.53229,476,
10991.53339,497,
10991.536,398,
10991.53869,393,
10991.54101,463,
10991.54297,321,
10991.54527,357,
10991.54776,389,
10991.54952,466,
10991.55091,357,
10991.55299,346,
10991.55455,353,
10991.55735,312,
10991.55807,378,
10991.56107,410,
10991.56415,455,
10991.56589,321,
10991.56898,277,
10991.57113,305,
10991.573,355,
10991.57711,268,
10991.57891,314,
10991.58096,315,
10991.58485,345,
10991.58753,308,
10991.58958,253,
10991.59282,351,
10991.59436,269,
10991.59795,251,
10991.60019,309,
10991.60321,259,
10991.60578,253,
10991.60749,382,
10991.61022,342,
10991.61353,330,
10991.61477,389,
10991.61715,286,
10991.62143,242,
10991.62353,213,
10991.62692,201,
10991.62812,224,
10991.63044,241,
10991.63477,232,
10991.63609,159,
10991.63959,197,
10991.64265,275,
10991.64793,285,
10991.65073,247,
10991.65411,299,
10991.65786,263,
10991.65938,302,
10991.66556,299,
10991.67053,300,
10991.67198,316,
10991.67758,307,
10991.67995,227,
10991.68456,242,
10991.68816,252,
10991.69019,234,
10991.69303,169,
10991.69673,207,
10991.69901,137,
10991.70234,185,
10991.70678,134,
10991.7169,156,
10991.71941,197,
10991.72379,182,
10991.72577,209,
10991.73009,136,
10991.73093,158,
10991.73291,132,
10991.73735,195,
10991.7391,108,
10991.74263,114,
10991.7464,94,
10991.74788,91,
10991.74999,152,
10991.75448,170,
10991.75566,139,
10991.7592,134,
10991.76481,150,
10991.76618,137,
10991.76875,171,
10991.77078,142,
10991.77606,178,
10991.78083,152,
10991.78166,147,
10991.78494,89,
10991.79025,147,
10991.79223,113,
10991.79565,74,
10991.79924,130,
10991.80174,113,
10991.80502,94,
10991.81072,69,
10991.81135,86,
10991.81541,86,
10991.81896,100,
10991.82243,149,
10991.82737,108,
10991.82986,62,
10991.83357,76,
10991.84082,82,
10991.84213,78,
10991.8468,51,
10991.85426,44,
10991.85265,62,
10991.85819,76,
10991.86196,57,
10991.86681,90,
10991.87407,69,
10991.87334,84,
10991.88046,56,
10991.88558,78,
10991.88795,96,
10991.89188,80,
10991.89812,87,
10991.89995,90,
10991.90297,95,
10991.91141,97,
10991.91086,82,
10991.91592,69,
10991.92087,83,
10991.92223,83,
10991.92508,59,
10991.92987,62,
10991.93053,53,
10991.93432,62,
10991.94018,61,
10991.93878,65,
10991.94444,40,
10991.94432,48,
10991.94813,47,
10991.95321,52,
10991.95234,50,
10991.95619,52,
10991.96024,52,
10991.96012,61,
10991.96306,49,
10991.96544,57,
10991.96805,60,
10991.97112,59,
10991.97569,62,
10991.97954,54,
10991.97958,65,
10991.98648,55,
10991.98704,55,
10991.98894,47,
10991.99448,44,
10991.99521,49,
10991.99892,44,
10992.00447,65,
10992.00325,43,
10992.00849,46,
10992.01459,42,
10992.01227,48,
10992.01806,39,
10992.02311,52,
10992.02425,52,
10992.02642,42,
10992.03336,24,
10992.03232,21,
10992.03598,33,
10992.04255,30,
10992.04312,42,
10992.04821,34,
10992.05211,29,
10992.05241,24,
10992.06193,39,
10992.06413,53,
10992.06534,42,
10992.06518,29,
10992.06693,34,
10992.06545,32,
10992.06548,40,
10992.06597,35,
10992.06657,38,
10992.06413,32,
10992.06408,45,
10992.06545,37,
10992.06461,38,
10992.06688,35,
10992.06367,67,
10992.06568,33,
10992.06597,40,
10992.06461,41,
10992.06434,48,
10992.06308,42,
10992.06532,45,
10992.06505,50,
10992.0651,45,
10992.06729,62,
10992.06586,52,
10992.06399,41,
10992.06557,54,
10992.06542,41,
10992.0665,49,
10992.06643,31,
10992.06491,43,
10992.06522,51,
10992.06531,48,
10992.06726,38,
10992.06653,51,
10992.06762,44,
10992.06644,38,
10992.06556,42,
10992.0649,41,
10992.06525,52,
10992.06564,52,
10992.06378,33,
