x0000,y0000
10990.97836,91,
10990.98235,82,
10990.98273,80,
10990.98627,78,
10990.99029,68,
10990.99277,69,
10990.99502,98,
10990.99867,88,
10990.99885,94,
10991.00472,85,
10991.00649,88,
10991.00895,86,
10991.01286,104,
10991.01489,102,
10991.01726,91,
10991.01946,75,
10991.02217,91,
10991.02411,106,
10991.02403,102,
10991.02679,113,
10991.02863,109,
10991.03072,83,
10991.03262,94,
10991.03648,92,
10991.03692,146,
10991.04136,90,
10991.04261,130,
10991.04361,110,
10991.0449,119,
10991.04752,141,
10991.0493,149,
10991.05146,123,
10991.05397,114,
10991.05526,126,
10991.05708,161,
10991.05991,138,
10991.06217,182,
10991.06408,124,
10991.06591,119,
10991.06723,145,
10991.06899,125,
10991.07092,103,
10991.07487,114,
10991.07591,99,
10991.07828,131,
10991.08064,133,
10991.08303,93,
10991.08556,103,
10991.09036,110,
10991.0921,122,
10991.09227,138,
10991.09704,178,
10991.09876,104,
10991.10201,174,
10991.10313,212,
10991.10503,184,
10991.10707,160,
10991.1097,166,
10991.11198,120,
10991.11388,125,
10991.11457,131,
10991.12051,128,
10991.12259,161,
10991.12446,169,
10991.12834,187,
10991.12942,154,
10991.13446,190,
10991.13878,191,
10991.13861,204,
10991.1442,211,
10991.14772,210,
10991.15118,169,
10991.15331,209,
10991.15583,229,
10991.16034,238,
10991.16229,185,
10991.16338,201,
10991.16839,214,
10991.17104,249,
10991.17314,188,
10991.17576,184,
10991.17984,236,
10991.18195,192,
10991.18633,233,
10991.18793,194,
10991.19109,280,
10991.19261,305,
10991.19589,245,
10991.19866,272,
10991.20087,249,
10991.20486,214,
10991.20947,267,
10991.21182,221,
10991.21435,241,
10991.21573,227,
10991.2192,191,
10991.22066,177,
10991.22588,147,
10991.23251,193,
10991.23499,200,
10991.23536,142,
10991.23758,142,
10991.24192,187,
10991.24164,156,
10991.24583,137,
10991.24816,121,
10991.2502,158,
10991.25218,164,
10991.25396,133,
10991.25625,245,
10991.25859,178,
10991.26161,202,
10991.26226,199,
10991.26582,218,
10991.26854,246,
10991.27135,180,
10991.27338,291,
10991.27611,277,
10991.27904,218,
10991.28087,205,
10991.28396,210,
10991.28609,260,
10991.28469,230,
10991.28882,233,
10991.29236,253,
10991.29354,226,
10991.29593,226,
10991.30107,237,
10991.30169,207,
10991.3035,220,
10991.30585,239,
10991.3091,195,
10991.31118,285,
10991.31405,327,
10991.31741,194,
10991.31957,239,
10991.32253,229,
10991.32513,308,
10991.32709,255,
10991.33154,228,
10991.33592,199,
10991.34215,287,
10991.342,265,
10991.34693,234,
10991.35882,262,
10991.36183,300,
10991.36637,293,
10991.37043,244,
10991.37387,249,
10991.37705,309,
10991.38235,321,
10991.38519,298,
10991.38879,344,
10991.39397,334,
10991.39635,342,
10991.4046,283,
10991.40829,327,
10991.41523,295,
10991.41806,308,
10991.42296,347,
10991.42682,355,
10991.42928,420,
10991.43358,346,
10991.43656,304,
10991.44065,242,
10991.44401,266,
10991.446,271,
10991.44907,256,
10991.45273,367,
10991.45659,288,
10991.45809,256,
10991.46123,339,
10991.46585,346,
10991.47117,196,
10991.4752,308,
10991.47813,364,
10991.48118,304,
10991.48488,274,
10991.48618,355,
10991.49154,343,
10991.49339,407,
10991.50065,309,
10991.50357,333,
10991.50239,365,
10991.50925,345,
10991.5117,326,
10991.51521,273,
10991.51801,220,
10991.52196,272,
10991.52474,268,
10991.52986,245,
10991.53108,169,
10991.53584,297,
10991.53838,222,
10991.54243,208,
10991.54521,106,
10991.54853,138,
10991.55099,131,
10991.55865,152,
10991.56003,145,
10991.56766,170,
10991.57096,121,
10991.5741,150,
10991.57839,124,
10991.58203,147,
10991.58452,170,
10991.58658,132,
10991.58851,254,
10991.59461,169,
10991.59819,150,
10991.60074,145,
10991.60322,133,
10991.60609,135,
10991.61266,123,
10991.61392,94,
10991.61737,117,
10991.61928,159,
10991.621,128,
10991.62392,95,
10991.62742,103,
10991.62951,124,
10991.63899,125,
10991.64054,138,
10991.64362,139,
10991.64602,198,
10991.64718,211,
10991.64981,188,
10991.65169,186,
10991.65556,160,
10991.65816,197,
10991.6599,155,
10991.6631,222,
10991.66479,208,
10991.66463,200,
10991.66625,116,
10991.6696,140,
10991.67346,119,
10991.67639,102,
10991.67888,109,
10991.6829,141,
10991.6845,154,
10991.68769,97,
10991.68959,105,
10991.69245,100,
10991.69098,112,
10991.69314,126,
10991.69512,110,
10991.69713,116,
10991.69627,135,
10991.70521,137,
10991.71103,109,
10991.71544,56,
10991.71554,71,
10991.72168,70,
10991.72451,86,
10991.72422,99,
10991.73006,77,
10991.73379,54,
10991.73493,72,
10991.73609,73,
10991.73926,73,
10991.7443,85,
10991.74294,91,
10991.74773,80,
10991.75094,90,
10991.75064,63,
10991.74974,74,
10991.75549,95,
10991.76219,44,
10991.76123,75,
10991.76828,68,
10991.77488,96,
10991.77323,68,
10991.78436,52,
10991.78828,51,
10991.7935,64,
10991.79758,62,
10991.80326,69,
10991.80555,56,
10991.81022,52,
10991.81468,40,
10991.81654,59,
10991.82254,57,
10991.82672,43,
10991.83005,38,
10991.83464,40,
10991.8361,46,
10991.84067,50,
10991.84348,39,
10991.84588,28,
10991.84866,56,
10991.85324,47,
10991.85235,29,
10991.85126,30,
10991.85131,44,
10991.85117,46,
10991.85322,58,
10991.85139,38,
10991.85176,57,
10991.8511,46,
10991.85109,42,
10991.85189,55,
10991.85129,38,
10991.85208,47,
10991.85187,47,
10991.85191,27,
10991.85226,48,
