x0000,y0000
10991.32019,183,
10991.32024,157,
10991.31959,154,
10991.3194,193,
10991.32139,154,
10991.31685,145,
10991.31582,165,
10991.31412,161,
10991.31088,115,
10991.30896,122,
10991.3081,139,
10991.30375,160,
10991.30134,142,
10991.29796,137,
10991.29712,169,
10991.29494,138,
10991.29079,128,
10991.29004,110,
10991.28514,109,
10991.28274,100,
10991.27959,122,
10991.27626,138,
10991.27248,110,
10991.27008,99,
10991.26438,121,
10991.26173,147,
10991.2601,140,
10991.2579,130,
10991.25402,152,
10991.24993,178,
10991.24767,158,
10991.24424,161,
10991.24312,160,
10991.24036,186,
10991.23817,126,
10991.23466,173,
10991.23078,149,
10991.22885,145,
10991.22578,146,
10991.22391,137,
10991.22298,149,
10991.21966,159,
10991.21719,177,
10991.21403,144,
10991.2117,166,
10991.20131,152,
10991.2007,163,
10991.19927,197,
10991.19629,145,
10991.19501,120,
10991.19285,170,
10991.19199,145,
10991.18853,148,
10991.18741,163,
10991.18443,160,
10991.18224,156,
10991.18111,129,
10991.17858,99,
10991.17776,96,
10991.17671,104,
10991.17337,106,
10991.17341,116,
10991.17123,124,
10991.16819,115,
10991.16809,139,
10991.16618,153,
10991.16435,150,
10991.16286,176,
10991.16005,172,
10991.15975,173,
10991.15716,138,
10991.15579,144,
10991.15308,160,
10991.15164,143,
10991.14932,202,
10991.14784,150,
10991.14498,157,
10991.14451,202,
10991.14189,189,
10991.14021,177,
10991.13759,174,
10991.13584,188,
10991.13311,156,
10991.13283,162,
10991.12887,116,
10991.12803,145,
10991.12592,165,
10991.12409,150,
10991.12196,97,
10991.1211,120,
10991.11839,104,
10991.11615,105,
10991.11517,120,
10991.11263,138,
10991.11183,114,
10991.10921,116,
10991.10749,98,
10991.10424,105,
10991.10176,88,
10991.09975,133,
10991.09858,134,
10991.09533,121,
10991.09317,112,
10991.09268,102,
10991.08952,115,
10991.08659,67,
10991.08461,102,
10991.08133,125,
10991.07858,125,
10991.0766,117,
10991.07491,124,
10991.07259,131,
10991.06778,126,
10991.06476,77,
10991.06275,110,
10991.05845,116,
10991.05732,67,
10991.0553,6,
10991.05017,30,
10991.04877,33,
10991.04157,3,
10991.03914,2,
10991.03662,7,
10991.0354,25,
10991.03087,20,
10991.02982,24,
10991.0258,45,
10991.02379,40,
10991.02032,50,
10991.01903,62,
10991.01772,57,
10991.01385,76,
10991.01177,111,
10991.00837,111,
10991.00634,71,
10991.00548,91,
10991.00293,108,
10991.00172,80,
10990.99788,112,
10990.99422,78,
10990.99095,75,
10990.99045,90,
10990.98831,60,
10990.98674,65,
10990.98435,80,
10990.98104,71,
10990.97949,72,
10990.97747,65,
10990.97702,79,
10990.97531,53,
10990.97206,49,
10990.96922,69,
10990.96722,46,
10990.96646,72,
10990.96221,81,
10990.96354,62,
10990.95904,66,
10990.95725,79,
10990.9577,80,
10990.95427,71,
10990.95334,86,
10990.95135,107,
10990.94997,79,
10990.94575,81,
10990.94352,74,
10990.943,68,
10990.94036,48,
10990.93659,59,
10990.93292,64,
10990.93358,73,
10990.92827,79,
10990.92617,65,
10990.92371,68,
10990.92153,85,
10990.91625,56,
10990.91743,58,
10990.91161,84,
10990.90845,66,
10990.90544,64,
10990.90436,80,
10990.89784,83,
10990.89873,79,
10990.89402,68,
10990.89144,60,
10990.88631,86,
10990.88158,65,
10990.88152,83,
10990.87776,55,
10990.86924,67,
10990.86727,43,
10990.86629,45,
10990.85686,41,
10990.85564,35,
10990.85406,66,
10990.84965,53,
10990.84664,40,
10990.84232,33,
10990.8358,72,
10990.8365,60,
10990.83451,50,
10990.82649,41,
10990.82775,34,
10990.82533,48,
10990.81819,49,
10990.81965,35,
10990.81664,72,
10990.81231,42,
10990.81253,58,
10990.80992,49,
10990.80906,54,
10990.80666,57,
10990.80069,58,
10990.79994,53,
10990.79911,68,
10990.79626,43,
10990.7953,48,
10990.79221,39,
10990.78833,43,
