x0000,y0000
10991.80007,70,
10991.8077,62,
10991.8108,68,
10991.81401,78,
10991.81613,60,
10991.82032,74,
10991.82266,70,
10991.82357,61,
10991.82688,76,
10991.82885,75,
10991.83154,58,
10991.83491,60,
10991.83814,70,
10991.843,68,
10991.84563,49,
10991.84776,62,
10991.84946,55,
10991.8525,55,
10991.85978,55,
10991.85958,57,
10991.86209,51,
10991.86643,77,
10991.87061,64,
10991.87397,48,
10991.87985,66,
10991.88346,35,
10991.8879,43,
10991.89698,40,
10991.90261,33,
10991.90631,27,
10991.91137,63,
10991.91961,40,
10991.91883,64,
10991.92664,46,
10991.92713,46,
10991.93052,48,
10991.93278,49,
10991.93713,45,
10991.93921,48,
10991.94327,41,
10991.94848,32,
10991.94996,39,
10991.94843,38,
10991.9543,37,
10991.95515,39,
10991.95551,51,
10991.95628,42,
10991.95613,27,
10991.9562,35,
10991.95799,40,
10991.95689,41,
10991.95694,44,
10991.95697,30,
10991.95808,46,
10991.9592,33,
10991.95692,47,
10991.95772,36,
10991.95643,39,
10991.9571,40,
10991.95718,49,
10991.95618,51,
10991.95555,42,
10991.95548,54,
10991.95528,43,
10991.95609,52,
10991.95613,57,
10991.955,67,
10991.95614,47,
10991.95578,36,
10991.95687,47,
10991.95622,51,
10991.95652,44,
10991.95639,45,
