x0000,y0000
13085.38344,41,
13085.38344,53,
13085.38776,46,
13085.39217,62,
13085.39217,82,
13085.39639,42,
13085.40073,84,
13085.40073,79,
13085.40477,74,
13085.40908,73,
13085.40908,78,
13085.41341,72,
13085.4178,56,
13085.4178,48,
13085.42211,76,
13085.42657,112,
13085.42657,57,
13085.43097,85,
13085.43532,48,
13085.43532,57,
13085.43951,66,
13085.4439,104,
13085.4439,78,
13085.44832,56,
13085.45278,53,
13085.45278,74,
13085.45727,72,
13085.46172,68,
13085.46172,56,
13085.4662,70,
13085.47075,57,
13085.47075,61,
13085.47523,76,
13085.47979,70,
13085.47979,93,
13085.48406,79,
13085.48855,81,
13085.48855,69,
13085.49308,71,
13085.49758,82,
13085.49758,87,
13085.50209,90,
13085.50664,92,
13085.50664,98,
13085.51114,101,
13085.51565,132,
13085.51565,87,
13085.52019,103,
13085.52445,102,
13085.52445,100,
13085.52893,129,
13085.53359,85,
13085.53359,131,
13085.53819,124,
13085.54277,103,
13085.54277,124,
13085.54733,104,
13085.55193,104,
13085.55193,136,
13085.55657,142,
13085.56096,133,
13085.56096,100,
13085.56558,107,
13085.56558,99,
13085.57034,95,
13085.57499,133,
13085.57499,73,
13085.57964,114,
13085.58431,96,
13085.58431,115,
13085.58903,137,
13085.59357,119,
13085.59357,141,
13085.5982,126,
13085.60267,210,
13085.60267,179,
13085.60736,125,
13085.61211,138,
13085.61211,167,
13085.61703,133,
13085.6219,101,
13085.6219,137,
13085.62661,110,
13085.63133,132,
13085.63133,139,
13085.63607,141,
13085.64054,152,
13085.64054,147,
13085.64521,116,
13085.65001,112,
13085.65001,113,
13085.65477,99,
13085.65956,112,
13085.65956,90,
13085.66436,113,
13085.66926,113,
13085.66926,104,
13085.67401,121,
13085.67896,105,
13085.67896,115,
13085.68367,72,
13085.68847,117,
13085.68847,102,
13085.69338,95,
13085.69837,115,
13085.69837,170,
13085.70322,177,
13085.70802,159,
13085.70802,155,
13085.71302,198,
13085.71797,250,
13085.71797,234,
13085.72266,215,
13085.72758,222,
13085.72758,125,
13085.73247,128,
13085.73732,125,
13085.73732,101,
13085.74225,144,
13085.74723,106,
13085.74723,88,
13085.75209,119,
13085.7571,122,
13085.7571,93,
13085.7621,82,
13085.76681,109,
13085.76681,126,
13085.77177,94,
13085.77177,107,
13085.77681,81,
13085.78186,112,
13085.78186,82,
13085.78685,76,
13085.79186,75,
13085.79186,74,
13085.79685,79,
13085.80164,64,
13085.80164,58,
13085.8068,54,
13085.81184,63,
13085.81184,56,
13085.81679,40,
13085.82192,64,
13085.82192,47,
13085.82697,50,
13085.83207,59,
13085.83207,59,
13085.83721,40,
13085.84234,63,
13085.84234,44,
13085.84729,51,
13085.85244,48,
13085.85244,62,
13085.85773,47,
13085.86288,43,
13085.86288,50,
13085.86815,38,
13085.87338,42,
13085.87338,33,
13085.87852,19,
13085.88374,37,
13085.88374,28,
13085.8887,30,
13085.89396,25,
13085.89396,18,
13085.89921,25,
13085.90452,35,
13085.90452,18,
13085.90968,14,
13085.91498,21,
13085.91498,23,
13085.92026,17,
13085.92552,28,
13085.92552,18,
13085.93098,34,
13085.93625,17,
13085.93625,26,
13085.94126,25,
13085.94668,39,
13085.94668,30,
13085.95205,31,
13085.9574,40,
13085.9574,29,
13085.96288,38,
13085.96837,30,
13085.96837,39,
13085.97379,28,
13085.97925,18,
13085.97925,74,
