Pressure[mbar]          N [counts]          Nerr [counts]       Mean [GHz]          Mean err [GHz]          FWHM [GHz]          FWHMerr [GHz]           Voigt_sigma             Voigt_sigma_err         Voigt_gamma             Voigt_gamma_err
50						230.88126388023954	5.163741233869853	1176896.4098500386	0.00018528742543545628	9.669590182207594	0.0067367913135273705	0.08075287636627594	8.560872002384056e-05	0.10263390464324205	9.033929724904153e-05
100						743.6796898577185	15.338334271013085	1176894.9504892605	0.000672383549081661	14.009367544933843	0.0028878688566081794	6.433291322671654e-07	1.5585578406578502	0.233650387571145	4.643716694107972e-05
#120						433.01878717669973	13.882435708809247	1176894.0017831216	0.0013901048445582027	19.500318184221314	0.13765229390306816	0.06061189707597812	0.004147129730614359	0.3084698311324768	0.0007769916875428592
150						538.9693333558829	17.83730151145182	1176894.6097667692	0.0014065512020568843	22.13509127307456	0.09279659504274768	0.1543270122709007	0.0013033635571384884	0.2748792418390151	0.0011289126089297546
#
200						286.00771135500435	56.4505979302124	1176892.7406473197	0.0035918986362452766	34.482822773139965	2.9690235064601778	0.5039596250876633	0.019090820060016802	-0.034555625492859336	0.08453516357462948
#200						516.7644216625492	13.807030223370061	1176890.5544297197	0.002858201244235978	27.23672625382797	4.373026661751108	1.8754602524668427e-05	593.059095350257	0.45425831029706726	0.0002344767934948115
#200						312.330428152369	22.92413934574826	1176890.8199434709	0.0018122620829766711	27.532421727246398	0.374523513434597	0.31612733387912095	0.003148953429276071	0.1504831011664486	0.008174446534818459
#
235						195.4236985135568	26.593253954408187	1176892.6466135625	0.007265454292295846	33.66217281431216	1.9107078986505406	0.3560290091072442	0.016367455068470062	0.23893370421082813	0.03953990999019721
